CMFD Cell,FSR id,Centroid
59,2223,"0.559901,1.686432,-86.948169"
59,2224,"0.560887,1.683517,-81.893162"
59,1664,"0.559139,1.690231,-86.908556"
59,1665,"0.560824,1.683482,-81.893192"
59,2883,"0.601868,1.778045,-81.897572"
59,1663,"0.570280,1.707054,-93.469115"
60,2284,"1.137551,2.122704,-81.920293"
60,1699,"1.225249,2.007062,-81.875081"
60,161,"1.224444,2.011082,-86.878683"
60,162,"1.222587,2.006451,-81.838331"
60,1698,"1.219662,2.013920,-86.914528"
60,160,"1.183242,2.067105,-93.479272"
60,320,"1.221967,2.029102,-86.934837"
60,321,"1.220965,2.025937,-81.838893"
60,2283,"1.138088,2.128670,-86.973373"
63,579,"-2.445025,0.735653,-86.964289"
63,491,"-2.445336,0.733769,-81.866278"
63,580,"-2.444870,0.734785,-81.855274"
63,421,"-2.441571,0.742238,-86.983002"
63,490,"-2.444452,0.737303,-86.975743"
63,422,"-2.443744,0.736343,-81.985236"
63,1362,"-2.327359,0.717678,-86.962599"
63,1363,"-2.326123,0.716466,-81.862174"
63,420,"-2.410323,0.730144,-93.483355"
64,820,"-1.783925,1.066751,-81.832335"
64,764,"-1.793100,1.061585,-93.483601"
64,2154,"-1.836571,1.038300,-81.873187"
64,765,"-1.781352,1.066813,-86.954720"
64,1526,"-1.781227,1.066844,-86.954675"
64,819,"-1.783366,1.066440,-86.920346"
64,2153,"-1.836149,1.042514,-86.959602"
64,1527,"-1.781869,1.066962,-81.846089"
64,766,"-1.781992,1.066932,-81.845870"
65,784,"-1.183000,1.378928,-93.489683"
65,2037,"-1.224494,1.355722,-81.933376"
65,786,"-1.219207,1.355520,-81.871846"
65,3694,"-1.072173,1.451377,-81.917212"
65,785,"-1.219773,1.354631,-86.957267"
65,2959,"-1.227066,1.350572,-86.974594"
65,3693,"-1.071444,1.442240,-86.934723"
65,2960,"-1.224213,1.356541,-81.920839"
65,2036,"-1.223551,1.348868,-86.953711"
66,644,"-0.570280,1.707054,-93.469115"
66,1684,"-0.559944,1.685592,-81.961431"
66,2299,"-0.560824,1.683482,-81.893192"
66,645,"-0.559901,1.686432,-86.948169"
66,3227,"-0.601868,1.778045,-81.897572"
66,1683,"-0.562113,1.683853,-86.985830"
66,646,"-0.560887,1.683517,-81.893162"
66,3226,"-0.594371,1.776262,-86.904494"
66,2298,"-0.559139,1.690231,-86.908556"
67,545,"0.000000,1.979686,-86.857852"
67,1878,"-0.000000,1.980308,-86.947884"
67,3530,"-0.000000,1.978061,-86.857169"
67,544,"-0.000000,2.083335,-93.480128"
67,3531,"0.000000,1.967884,-81.880542"
67,2428,"-0.000000,2.199932,-86.953419"
67,1879,"-0.000000,1.977160,-81.864385"
67,546,"0.000000,1.968412,-81.881533"
67,2429,"-0.000000,2.196987,-81.871242"
68,3455,"0.662279,2.442481,-86.954788"
68,2754,"0.563947,2.441621,-86.958830"
68,2755,"0.564537,2.439959,-81.901071"
68,2444,"0.561192,2.436076,-86.959816"
68,2445,"0.561838,2.434538,-81.903412"
68,3456,"0.660988,2.444216,-81.864534"
68,3565,"0.561436,2.452206,-81.909218"
68,3564,"0.560950,2.454022,-86.963066"
68,2443,"0.606331,2.444980,-93.499780"
72,1646,"-2.391758,1.373545,-86.976944"
72,854,"-2.393421,1.375580,-93.486484"
