x,y
1.358405,-1.862299
1.341638,-1.869221
1.390864,-1.848900
1.358405,-1.862299
1.394826,-1.847264
1.390864,-1.848900
1.453736,-1.822945
1.394826,-1.847264
1.507319,-1.800825
1.453736,-1.822945
1.510845,-1.799369
1.507319,-1.800825
1.539222,-1.787654
1.510845,-1.799369
1.553460,-1.781777
1.539222,-1.787654
2.015655,-1.590973
1.553460,-1.781777
2.029893,-1.585096
2.015655,-1.590973
2.058270,-1.573381
2.029893,-1.585096
2.061796,-1.571925
2.058270,-1.573381
2.101794,-1.555413
2.061796,-1.571925
2.141457,-1.539040
2.101794,-1.555413
2.144948,-1.537598
2.141457,-1.539040
2.173015,-1.526012
2.144948,-1.537598
2.187069,-1.520210
2.173015,-1.526012
2.655678,-1.326759
2.187069,-1.520210
2.669732,-1.320957
2.655678,-1.326759
2.697799,-1.309370
2.669732,-1.320957
2.701291,-1.307929
2.697799,-1.309370
2.749851,-1.287882
2.701291,-1.307929
-2.160789,-3.207403
-2.808747,-3.474893
-1.512732,-2.939871
-2.160789,-3.207403
-1.115806,-2.776012
-1.512732,-2.939871
-0.975283,-2.718002
-1.115806,-2.776012
-0.864674,-2.672340
-0.975283,-2.718002
-0.814167,-2.651489
-0.864674,-2.672340
-0.810384,-2.649928
-0.814167,-2.651489
-0.779627,-2.637231
-0.810384,-2.649928
-0.763942,-2.630755
-0.779627,-2.637231
-0.347172,-2.458704
-0.763942,-2.630755
-0.331486,-2.452229
-0.347172,-2.458704
-0.300730,-2.439532
-0.331486,-2.452229
-0.296947,-2.437970
-0.300730,-2.439532
-0.216617,-2.404809
-0.296947,-2.437970
-0.120555,-2.365152
-0.216617,-2.404809
-0.115684,-2.363141
-0.120555,-2.365152
-0.073845,-2.345870
-0.115684,-2.363141
-0.050172,-2.336097
-0.073845,-2.345870
0.212690,-2.227582
-0.050172,-2.336097
0.236364,-2.217809
0.212690,-2.227582
0.278203,-2.200537
0.236364,-2.217809
0.283074,-2.198526
0.278203,-2.200537
0.352187,-2.169995
0.283074,-2.198526
0.558075,-2.085000
0.352187,-2.169995
0.701903,-2.025625
0.558075,-2.085000
0.734248,-2.012272
0.701903,-2.025625
0.879009,-1.952512
0.734248,-2.012272
0.943605,-1.925845
0.879009,-1.952512
0.949557,-1.923388
0.943605,-1.925845
1.005187,-1.900423
0.949557,-1.923388
1.045324,-1.883853
1.005187,-1.900423
1.174190,-1.830655
1.045324,-1.883853
1.214327,-1.814085
1.174190,-1.830655
1.269958,-1.791120
1.214327,-1.814085
1.275909,-1.788663
1.269958,-1.791120
1.399845,-1.737500
1.275909,-1.788663
1.405831,-1.735029
1.399845,-1.737500
1.503702,-1.694626
1.405831,-1.735029
1.507734,-1.692961
1.503702,-1.694626
1.540867,-1.679283
1.507734,-1.692961
1.558075,-1.672179
1.540867,-1.679283
1.935072,-1.516547
1.558075,-1.672179
1.952279,-1.509444
1.935072,-1.516547
1.985413,-1.495766
1.952279,-1.509444
1.989445,-1.494101
1.985413,-1.495766
2.051584,-1.468448
1.989445,-1.494101
2.107619,-1.445316
2.051584,-1.468448
2.111163,-1.443853
2.107619,-1.445316
2.139714,-1.432067
2.111163,-1.443853
2.154055,-1.426147
2.139714,-1.432067
2.612724,-1.236799
2.154055,-1.426147
2.627065,-1.230878
2.612724,-1.236799
2.655615,-1.219092
2.627065,-1.230878
2.659160,-1.217629
2.655615,-1.219092
2.699642,-1.200917
2.659160,-1.217629
-2.228106,-3.127500
-2.727115,-3.333501
-2.200292,-3.116018
-2.228106,-3.127500
-1.562941,-2.852906
-2.200292,-3.116018
-1.224567,-2.713219
-1.562941,-2.852906
-1.084045,-2.655208
-1.224567,-2.713219
-0.914884,-2.585375
-1.084045,-2.655208
-0.874728,-2.568798
-0.914884,-2.585375
-0.871253,-2.567363
-0.874728,-2.568798
-0.843330,-2.555836
-0.871253,-2.567363
-0.829361,-2.550070
-0.843330,-2.555836
-0.357721,-2.355367
-0.829361,-2.550070
-0.343753,-2.349600
-0.357721,-2.355367
-0.315830,-2.338073
-0.343753,-2.349600
-0.312354,-2.336639
